Item Name,Start Date,Due Date,Start Time,Due Time
First Assignment,2025-08-25,2025-09-02,12:01 AM,11:59 PM
Quiz 2 (1.1;1.3-1.8),2025-09-18,2025-09-18,8:00 AM,11:59 PM
Quiz 2 (1.1;1.3-1.8) Solutions,2025-09-19,,6:00 AM,
YouTube: Quiz 2 Worked Out,2025-09-19,,6:00 AM,
Unit 2 Graded Quiz,2025-10-09,2025-10-09,8:00 AM,11:59 PM
M1314 Unit 2 Graded Quiz Key,2025-10-10,,6:00 AM,
YouTube: Unit 2 Graded Quiz Worked Out,2025-10-10,,6:00 AM,
Extra Credit Assignment 3,2025-10-21,2025-11-03,11:59 PM,11:59 PM
3.4 Homework Assignment,2025-10-23,2025-11-03,8:00 AM,11:59 PM
3.5 Graphing Rational Functions Steps,2025-10-28,,8:00 AM,
3.5 Homework Assignment,2025-10-28,2025-11-03,8:00 AM,11:59 PM
3.5 Homework Assignment key,2025-10-28,,8:00 AM,
Completion Quiz Unit 3 Key,2025-10-28,,8:00 AM,
Unit 3 Completion Quiz,2025-10-28,2025-11-03,8:00 AM,11:59 PM
Unit 3 Graded Quiz,2025-10-30,2025-10-30,8:00 AM,11:59 PM
Unit 3 Graded Quiz key,2025-10-31,,6:00 AM,
YouTube: Unit 3 Graded Quiz Worked Out,2025-10-31,,6:00 AM,
✏️4.2 Exponential Functions Homework,2025-11-04,2025-12-01,8:00 AM,11:59 PM
✏️4.3 - 4.5 Logarithms Homework,2025-11-04,2025-12-01,8:00 AM,11:59 PM
✏️4.6 Exponential Modeling Homework,2025-11-04,2025-12-01,8:00 AM,11:59 PM
✏️5.1 Systems of Linear Equations Homework,2025-11-04,2025-12-01,8:00 AM,11:59 PM
4.2 -4.3 Transformations Summary,2025-11-13,,8:00 AM,
Unit 4 Completion Quiz key,2025-11-19,,9:30 AM,
Unit 4 Graded Quiz (4.1 - 4.6; 5.1),2025-11-25,2025-11-25,8:00 AM,11:59 PM
Unit 4 Graded Quiz (4.1-4.6;5.1) key,2025-11-26,,6:00 AM,
YouTube: Unit 4 Graded Quiz Worked Out,2025-11-26,,6:00 AM,
2.1 - 2.2 Video Lesson Assignment,,2025-09-28,,11:59 PM
Extra Credit Assignment 1,,2025-09-23,,11:59 PM
Extra Credit Assignment 2,,2025-09-28,,11:59 PM
Unit 2 Completion Quiz,,2025-10-13,,11:59 PM
✏️4.1 Inverse Functions Homework,,2025-12-01,,11:59 PM
✏️4.2 - 4.3 Graphing Exponentials and Logarithms Homework,,2025-12-01,,11:59 PM
