Date,Description
8/26/2025,"Introduction, 1.1"
8/28/2025,1.3-1.4
9/2/2025,Labor Day
9/4/2025,1.4
9/9/2025,1.6
9/11/2025,1.6-1.7
9/16/2025,1.8
9/18/2025,Quiz 1.1-1.8
9/23/2025,"Test 1, Chapter 1"
9/25/2025,2.3-2.4
9/30/2025,2.5-2.6
10/2/2025,2.6-2.7
10/7/2025,2.8
10/9/2025,Quiz 2.1-2.8
10/14/2025,"Test 2, Chapter 2"
10/16/2025,3.1-3.2
10/21/2025,3.2-3.3
10/23/2025,3.4
10/28/2025,3.5
10/30/2025,Quiz 3.1-3.5
11/4/2025,"Test 3, Chapter 3"
11/6/2025,4.1-4.2
11/11/2025,4.3-4.4
11/13/2025,"Log Graphing, 4.5"
11/18/2025,4.6
11/19/2025,5.1
11/25/2025,Quiz
11/26/2025,Thanksgiving
12/2/2025,Test (Ch. 4-5 Review)
12/9/2025,Final Exam (8:00-9:50)

